r,p(r),s,v,p(z),z,,r,z=T(r)
37,0.012897491455078125,0.2919769287109375,0.1805995612966123,0.004752620034121375,37,,37,61
38,0.0124664306640625,0.304443359375,0.1853521813307337,0.004752620034121375,38,,38,64
39,0.01213836669921875,0.31658172607421875,0.19010480136485508,0.004752620034121375,39,,39,68
40,0.011814117431640625,0.3283958435058594,0.19485742139897647,0.004752620034121375,40,,40,71
41,0.011684417724609375,0.34008026123046875,0.19961004143309785,0.004752620034121375,41,,41,75
42,0.011402130126953125,0.3514823913574219,0.20436266146721924,0.004752620034121375,42,,42,79
43,0.01108551025390625,0.3625679016113281,0.20911528150134062,0.004752620034121375,43,,43,83
44,0.01132965087890625,0.3738975524902344,0.213867901535462,0.004752620034121375,44,,44,86
45,0.01076507568359375,0.3846626281738281,0.2186205215695834,0.004752620034121375,45,,45,90
46,0.011142730712890625,0.39580535888671875,0.22337314160370478,0.004752620034121375,46,,46,94
47,0.011425018310546875,0.4072303771972656,0.22812576163782616,0.004752620034121375,47,,47,97
48,0.010646820068359375,0.417877197265625,0.23287838167194755,0.004752620034121375,48,,48,101
49,0.010318756103515625,0.4281959533691406,0.23763100170606893,0.004752620034121375,49,,49,104
50,0.0103302001953125,0.4385261535644531,0.24238362174019032,0.004752620034121375,50,,50,108
51,0.010181427001953125,0.44870758056640625,0.2471362417743117,0.004752620034121375,51,,51,111
52,0.010303497314453125,0.4590110778808594,0.25188886180843306,0.004752620034121375,52,,52,114
53,0.009685516357421875,0.46869659423828125,0.2566414818425544,0.004752620034121375,53,,53,118
54,0.009700775146484375,0.4783973693847656,0.2613941018766758,0.004752620034121375,54,,54,121
55,0.010395050048828125,0.48879241943359375,0.26614672191079713,0.004752620034121375,55,,55,124
56,0.0096893310546875,0.49848175048828125,0.2708993419449185,0.004752620034121375,56,,56,127
57,0.009754180908203125,0.5082359313964844,0.27565196197903985,0.004752620034121375,57,,57,130
58,0.00943756103515625,0.5176734924316406,0.2804045820131612,0.004752620034121375,58,,58,134
59,0.008792877197265625,0.5264663696289062,0.28515720204728257,0.004752620034121375,59,,59,136
60,0.00803375244140625,0.5345001220703125,0.2899098220814039,0.004752620034121375,60,,60,139
61,0.007781982421875,0.5422821044921875,0.2946624421155253,0.004752620034121375,61,,61,142
62,0.007320404052734375,0.5496025085449219,0.29941506214964664,0.004752620034121375,62,,62,144
63,0.007129669189453125,0.556732177734375,0.304167682183768,0.004752620034121375,63,,63,146
64,0.006855010986328125,0.5635871887207031,0.30721423348769195,0.0030465513039239583,64,,64,149
65,0.00678253173828125,0.5703697204589844,0.3102607847916159,0.0030465513039239583,65,,65,151
66,0.006793975830078125,0.5771636962890625,0.31330733609553985,0.0030465513039239583,66,,66,153
67,0.006336212158203125,0.5834999084472656,0.3163538873994638,0.0030465513039239583,67,,67,155
